
(venv) PS G:\GGames\Minecraft\shuyeyun\git-dir\utils\python\zeapi> python .\search_haz_domain.py
100%|███████████████████████████████████████████████████████████████████████████████████████████| 353/353 [01:59<00:00,  2.96it/s]

--- Domain Price Check Results ---

--- Domains with Price Data ---
Domain: hazxys.com | New Price: $8.5 | Renew Price: $10.2
Domain: hazxys.cn | New Price: $4.1 | Renew Price: $5.1
Domain: hazxys.xyz | New Price: $0.98 | Renew Price: $11.4
Domain: hazxys.vip | New Price: $3.6 | Renew Price: $5.1
Domain: hazxys.net | New Price: $11 | Renew Price: $11.2
Domain: hazxys.org | New Price: $5.6 | Renew Price: $10.2
Domain: hazxys.info | New Price: $2.5 | Renew Price: $18.1
Domain: hazxys.tv | New Price: $25 | Renew Price: $25
Domain: hazxys.co | New Price: $3.4 | Renew Price: $24
Domain: hazxys.me | New Price: $2.9 | Renew Price: $13.6
Domain: hazxys.io | New Price: $27 | Renew Price: $39
Domain: hazxys.online | New Price: $0.98 | Renew Price: $10.8
Domain: hazxys.tech | New Price: $1.4 | Renew Price: $27.1
Domain: hazxys.store | New Price: $0.98 | Renew Price: $12.3
Domain: hazxys.site | New Price: $0.98 | Renew Price: $11.1
Domain: hazxys.app | New Price: $5.7 | Renew Price: $14
Domain: hazxys.dev | New Price: $5 | Renew Price: $12
Domain: hazxys.blog | New Price: $1.6 | Renew Price: $20
Domain: hazxys.shop | New Price: $0.8 | Renew Price: $24.8
Domain: hazxys.art | New Price: $2 | Renew Price: $13.6
Domain: hazxys.ai | New Price: $69 | Renew Price: $69
Domain: hazxys.game | New Price: $289 | Renew Price: $309
Domain: hazxys.cloud | New Price: $1.4 | Renew Price: $15
Domain: hazxys.design | New Price: $2.9 | Renew Price: $20.3
Domain: hazxys.wiki | New Price: $1.6 | Renew Price: $11.9
Domain: hazxys.live | New Price: $2 | Renew Price: $9.8
Domain: hazxys.news | New Price: $5.7 | Renew Price: $22.1
Domain: hazxys.space | New Price: $0.98 | Renew Price: $11.6
Domain: hazxys.fun | New Price: $1.1 | Renew Price: $23.1
Domain: hazxys.win | New Price: $3.6 | Renew Price: $5.2
Domain: hazxys.link | New Price: $2.1 | Renew Price: $4
Domain: hazxys.pro | New Price: $2.1 | Renew Price: $18.1
Domain: hazxys.club | New Price: $1.4 | Renew Price: $10.7
Domain: hazxys.global | New Price: $20 | Renew Price: $24.7
Domain: hazxys.group | New Price: $1.7 | Renew Price: $9.8
Domain: hazxys.ltd | New Price: $3.5 | Renew Price: $5.6
Domain: hazxys.zone | New Price: $5.2 | Renew Price: $9.1
Domain: hazxys.rocks | New Price: $2.5 | Renew Price: $13
Domain: hazxys.systems | New Price: $9.3 | Renew Price: $19.9
Domain: hazxys.solutions | New Price: $5.5 | Renew Price: $19.9
Domain: hazxys.digital | New Price: $1.5 | Renew Price: $28.3
Domain: hazxys.media | New Price: $4 | Renew Price: $10.9
Domain: hazxys.services | New Price: $6 | Renew Price: $26.3
Domain: hazxys.tools | New Price: $6.2 | Renew Price: $24.2
Domain: hazxys.ventures | New Price: $7.5 | Renew Price: $39
